Transaction Hash,Status,Method,Blockno,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Txn Fee
"0x85f8000ab35c297953e2d9ad1863ef74a78a3b82a039fd78609c4e96f400e49b","Success","Transfer","18542963","2023-11-10 17:14:11","0x0a5984f86200415894821bfefc1c1de036dbf9e7","Poloniex Hacker 1","0xAe9D355CCe529505d6c57b1beb8eced65Ff6Aa5F","","0.5 ETH","$1,127.41","0.00197681"
"0x903d4eca7b4d5e37e23d595ed2c9b617728dc21b5e747ba26d5b10cfa1987ffc","Success","Transfer","18542963","2023-11-10 17:14:11","0x0a5984f86200415894821bfefc1c1de036dbf9e7","Poloniex Hacker 1","0xE60779CC1b2c1d0580611c526a8DF0E3f870EC48","unshETH: USH Token","0 ETH","$0.00","0.00985187"
"0xdbe34b186689f3b7e745610876bc58fdd195675d2997d47deab96fffdf197617","Success","Transfer","18542962","2023-11-10 17:13:59","0x0a5984f86200415894821bfefc1c1de036dbf9e7","Poloniex Hacker 1","0x41DDFD73ee17D89ad2e2cD831Ed0e2a3c2CC3651","","0.5 ETH","$1,127.41","0.00141313"
"0x3ebc562474edf8d82ec927d2477d429431363d1c3f0b1a0726cb86ba143ac7ff","Success","Transfer","18542962","2023-11-10 17:13:59","0x0a5984f86200415894821bfefc1c1de036dbf9e7","Poloniex Hacker 1","0x1AA51bc7eb181ce48CE626Bf62f8956Fa9555136","PAWZONE: PAW Token","0 ETH","$0.00","0.00413523"
"0x05f2bd3bf7afaf219e8a696a15b88ac1895b6a896d85b4f5359bc4f6fe7f6faa","Success","Transfer","18542961","2023-11-10 17:13:47","0x0a5984f86200415894821bfefc1c1de036dbf9e7","Poloniex Hacker 1","0xF34ef65B878f7e9f865758a35f751a99b123369c","","0.5 ETH","$1,127.41","0.00172991"
"0xc47c3626c294a4dfc2aaa56e2cdf493649378a69fce725cdaa6965d6b16e4eb2","Success","Transfer","18542961","2023-11-10 17:13:47","0x0a5984f86200415894821bfefc1c1de036dbf9e7","Poloniex Hacker 1","0x36880f14AF2e85Cae8E467827FA077D6BF12ea56","Jared From Subway (JARED): JARED Token","0 ETH","$0.00","0.00337476"
"0x5c35d568400638a6a04db65a5febfd9ac09b2b37b55528cd6859fce04015d553","Success","Transfer","18542961","2023-11-10 17:13:47","0x0a5984f86200415894821bfefc1c1de036dbf9e7","Poloniex Hacker 1","0xF3a67754e48C171531fAcd660568a4eA0839E117","","0.5 ETH","$1,127.41","0.00194424"
"0x99906736129862c24fed4e139e317fec242ddbc54e89a0687dd960a64abc2f39","Success","Transfer","18542961","2023-11-10 17:13:47","0x0a5984f86200415894821bfefc1c1de036dbf9e7","Poloniex Hacker 1","0x3449FC1Cd036255BA1EB19d65fF4BA2b8903A69a","Basis Cash: BAC Token","0 ETH","$0.00","0.00437089"
"0xe1cb1888236d417af10a9d8c692723e35343e5f4de277fd1c58d4c957b6d9f23","Success","Transfer","18542960","2023-11-10 17:13:23","0x0a5984f86200415894821bfefc1c1de036dbf9e7","Poloniex Hacker 1","0x36C4720dF9a6DdaD62eeE309B9fAD8B81441Ec86","","0.5 ETH","$1,127.41","0.00205681"
"0x3441894f011e61148d1935bc0882fbf43f371ee2c929282f27d86a9135149158","Success","Transfer","18542960","2023-11-10 17:13:23","0x0a5984f86200415894821bfefc1c1de036dbf9e7","Poloniex Hacker 1","0x31429d1856aD1377A8A0079410B297e1a9e214c2","Angle Protocol: ANGLE Token","0 ETH","$0.00","0.00395342"
"0xce11a5cb89e3390cb5fa36fdb7d959e90144b07f789d68ee8af17a2b941e791a","Success","Transfer","18542960","2023-11-10 17:13:23","0x0a5984f86200415894821bfefc1c1de036dbf9e7","Poloniex Hacker 1","0xC673B8FEc3647776a15E7e661C22904e5f1e43E4","","0.5 ETH","$1,127.41","0.00158455"
"0xddd7acb75ead82ada95c34a7f89bc4c155c9a73856b98e35b22d537c760bbd8b","Success","Transfer","18542959","2023-11-10 17:13:11","0x0a5984f86200415894821bfefc1c1de036dbf9e7","Poloniex Hacker 1","0xcae3fAA4B6cF660AEF18474074949BA0948bc025","Generational Wealth: GEN Token","0 ETH","$0.00","0.00356616"
"0xb7a9590e591d9fe2c6f28f6cc40a0cafe0bcc288b71ccf3521f842c82abe10ac","Success","Transfer","18542959","2023-11-10 17:13:11","0x0a5984f86200415894821bfefc1c1de036dbf9e7","Poloniex Hacker 1","0xC9515e50F602f58F08613a772F922e2497c71D17","","0.5 ETH","$1,127.41","0.00167509"
"0x1358a6fd746eed844e006a6463890fe46b381b709a765957165324a88e74f1b3","Success","Transfer","18542958","2023-11-10 17:12:59","0x0a5984f86200415894821bfefc1c1de036dbf9e7","Poloniex Hacker 1","0x089453742936dd35134383aee9d78bEe63A69b01","Gold Coin: GOLD Token","0 ETH","$0.00","0.00585367"
"0x66277e308a11b6b6bd931ef532d3ae761a73c4e9f85fe9de938bdd97ddbe3442","Success","Transfer","18542958","2023-11-10 17:12:59","0x0a5984f86200415894821bfefc1c1de036dbf9e7","Poloniex Hacker 1","0x584D2eF8A624cE381d7a88F857eB9C0aF2A45599","","0.5 ETH","$1,127.41","0.0014753"
